Núm.,Tipo,Estado,Descripción,Usuario Reporta,Solicitado a,Auditor Global,Proceso,Fecha de Creación,Fecha Cierre,Norma y Numeral,Acción Eficaz,Acción Correctiva,%Avance Eficaz,%Avance Plan de Acciones
1814,No Conformidad,Abierta,"17.3. Lista de chequeo de los documentos necesarios para el traslado que incluya:17.3.4. Mecanismos tecnológicos que le permitan realizar el proceso (software, correo, entre otros): No se puede evidenciar en el momento de la verificación.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1815,No Conformidad,Abierta,"20. La Institución Prestadora de Servicios de Salud que cuente con servicios de salud de los grupos de consulta externa,internación o el servicio de urgencias, cuenta con:21. El Profesional Independiente de Salud y las Entidades con Objeto Social Diferente que oferten y presten servicios de salud de los grupos de consulta externa y los prestadores de servicios de salud de Transporte Especial de Pacientes cuentan con documento del proceso que orienta la atención en salud de las víctimas de violen...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1816,No Conformidad,Abierta,"23. Los prestadores de servicios de salud cuentan con información documentada de las condiciones de almacenamiento, conservación, control de fechas de vencimiento, uso y custodia de los medicamentos, dispositivos médicos e insumos contenidos en los kits de derrames de medicamentos, ataque con agentes químicos y de violencias sexuales, según su contenido: No se cuenta documentado las condiciones de almacenamiento, conservación, control de fechas de vencimiento, uso y custodia de los medicamentos...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1817,No Conformidad,Abierta,"27. Cuando el prestador de servicios de salud realice “pruebas en el punto de atención del paciente - (Point of Care Testing - POCT)” en un servicio habilitado cuenta con: 27.1. Información documentada sobre la toma, procesamiento, control de calidad y entrega de resultados: En el momento de la verificación no se evidencia documentado.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1818,No Conformidad,Abierta,"27.2. Controles de calidad realizados por un servicio de laboratorio clínico que puede ser propio o contratado para tal fin, cuando aplique, de acuerdo a las especificaciones del fabricante: En el momento de la verificación no se evidencia documentado.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1819,No Conformidad,Abierta,27.3. Análisis de los reportes del control de calidad y toma de medidas preventivas y correctivas: En el momento de la verificación no se evidencia documentado.,Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1820,No Conformidad,Abierta,"28. Orientación a los usuarios sobre las condiciones, requisitos y restricciones de acceso, permanencia y salida del vehículo, en condiciones de rutina o en condiciones de emergencia, a cargo del conductor del vehículo y el talento humano en salud: El prestador cuenta documentado PT-MICE-25 Versión 2 fecha 2019 Sálidas de extramurales no cuenta con todas las especificos que se requieren en la normatividad vigente.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1821,No Conformidad,Abierta,29. Mecanismos que garanticen comunicación para el seguimiento de los pacientes que lo requieran: El prestador cuenta documentado PT-MICE-25 Versión 2 fecha 2019 Sálidas de extramurales no cuenta con todas las especificos que se requieren en la normatividad vigente.,Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1822,No Conformidad,Abierta,"30. Mecanismos de supervisión de las actividades realizadas en el marco de los eventos de interés en salud pública, cuando aplique: El prestador cuenta documentado PT-MICE-25 Versión 2 fecha 2019 Sálidas de extramurales no cuenta con todas las especificos que se requieren en la normatividad vigente.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1823,No Conformidad,Abierta,"3. Los medios electrónicos para la gestión de la historia clínica garantizan la confidencialidad y seguridad, así como el carácter permanente de registrar en esta y en otros registros asistenciales, sin que se puedan modificar los datos una vez se guarden los registros: El proveedor dispone del documento institucional titulado Protocolo de Uso y Custodia de los Registros de la Historia Clínica, con código PL-AP-GD-08, fechado en el año 2023. Sin embargo, al utilizar el sistema electrónico, el p...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,6. Historia clínica y registros,,,,
1824,No Conformidad,Abierta,"5. La historia clínica y los registros asistenciales se diligencian en forma clara, legible, sin tachones, enmendaduras, intercalaciones, sin dejar espacios en blanco y sin utilizar siglas: El prestador presenta registros de manera física donde se evidencian espacios en blanco, adicional a ello el prestador presenta una etapa de transición donde se encuentra en cambio de sistema de registros de historia clínica y no se evidencian registros de manera digital.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,6. Historia clínica y registros,,,,
1825,No Conformidad,Abierta,"8. La historia clínica y demás registros son conservados en archivo único garantizando la custodia y confidencialidad de los documentos o registros protegidos legalmente por reserva: ""El prestador mantiene registros de historia clínica de manera física en donde no se garantiza la custodia ni la confidencialidad de los documentos o registros protegidos por reserva legal. Se observa que el prestador está en proceso de transición hacia el sistema digital de historia clínica, utilizando el sistema ...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,6. Historia clínica y registros,,,,
